"","x"
"250","JARAGUA DO SUL"
"251","JATAI"
"252","JAU"
"253","JEQUIE"
"254","JI-PARANA"
"255","JOAO MONLEVADE"
"256","JOAO PESSOA"
"257","JOAO PINHEIRO"
"258","JOINVILLE"
"259","JOSE BONIFACIO"
"260","JUAZEIRO"
"261","JUAZEIRO DO NORTE"
"262","JUIZ DE FORA"
"263","JUNDIAI"
"264","LAGARTO"
"265","LAGES"
"266","LAGUNA"
"267","LAJEADO"
"268","LAJEDO"
"269","LAURO DE FREITAS"
"270","LAVRAS"
"271","LEME"
"272","LEOPOLDINA"
"273","LIMEIRA"
"274","LIMOEIRO DO NORTE"
"275","LINHARES"
"276","LINS"
"277","LIVRAMENTO DE NOSSA SENHORA"
"278","LONDRINA"
"279","LORENA"
"280","LUZIANIA"
"281","MACAE"
"282","MACAPA"
"283","MACEIO"
"284","MAFRA"
"285","MAGE"
"286","MAMANGUAPE"
"287","MANACAPURU"
"288","MANAUS"
"289","MANGARATIBA"
"290","MANHUACU"
"291","MARABA"
"292","MARACANAU"
"293","MARECHAL CANDIDO RONDON"
"294","MARECHAL DEODORO"
"295","MARIANA"
"296","MARICA"
"297","MARILIA"
"298","MARINGA"
"299","MATAO"
"300","MAUA"
"301","MINEIROS"
"302","MIRASSOL"
"303","MOCOCA"
"304","MOGI DAS CRUZES"
"305","MOGI GUACU"
"306","MOGI MIRIM"
"307","MONTE ALTO"
"308","MONTE CARMELO"
"309","MONTES CLAROS"
"310","MORADA NOVA"
"311","MORRINHOS"
"312","MOSSORO"
"313","MURIAE"
"314","NATAL"
"315","NILOPOLIS"
"316","NITEROI"
"317","NOSSA SENHORA DO SOCORRO"
"318","NOVA ANDRADINA"
"319","NOVA FRIBURGO"
"320","NOVA IGUACU"
"321","NOVA LIMA"
"322","NOVA VENECIA"
"323","NOVO HAMBURGO"
"324","OEIRAS"
"325","OLIMPIA"
"326","OLINDA"
"327","OSASCO"
"328","OSORIO"
"329","OURINHOS"
"330","OURO PRETO"
"331","PALHOCA"
"332","PALMAS"
"333","PALMEIRA DAS MISSOES"
"334","PALMEIRA DOS INDIOS"
"335","PARA DE MINAS"
"336","PARACATU"
"337","PARAGOMINAS"
"338","PARAGUACU PAULISTA"
"339","PARAIBA DO SUL"
"340","PARAISO DO TOCANTINS"
"341","PARANAGUA"
"342","PARANAIBA"
"343","PARANAVAI"
"344","PARATI"
"345","PARAUAPEBAS"
"346","PARINTINS"
"347","PARNAIBA"
"348","PARNAMIRIM"
"349","PASSO FUNDO"
"350","PASSOS"
"351","PATO BRANCO"
"352","PATOS"
"353","PATOS DE MINAS"
"354","PATROCINIO"
"355","PAULINIA"
"356","PAULISTA"
"357","PAULO AFONSO"
"358","PEDRA BRANCA"
"359","PELOTAS"
"360","PETROLINA"
"361","PETROPOLIS"
"362","PICOS"
"363","PIMENTA BUENO"
"364","PINDAMONHANGABA"
"365","PINHAIS"
"366","PINHEIRO"
"367","PIRACICABA"
"368","PIRASSUNUNGA"
"369","PIRIPIRI"
"370","PLANALTINA DE GOIAS"
"371","POA"
"372","POCOES"
"373","POCOS DE CALDAS"
"374","PONTA GROSSA"
"375","PONTA PORA"
"376","PORANGATU"
"377","PORTO ALEGRE"
"378","PORTO FERREIRA"
"379","PORTO NACIONAL"
"380","PORTO SEGURO"
"381","PORTO VELHO"
"382","POUSO ALEGRE"
"383","PRAIA GRANDE"
"384","PRESIDENTE DUTRA"
"385","PRESIDENTE PRUDENTE"
"386","PRESIDENTE VENCESLAU"
"387","QUEIMADOS"
"388","QUIXADA"
"389","RECIFE"
"390","REDENCAO"
"391","RESENDE"
"392","RIBEIRAO DAS NEVES"
"393","RIBEIRAO PIRES"
"394","RIBEIRAO PRETO"
"395","RIO BONITO"
"396","RIO BRANCO"
"397","RIO CLARO"
"398","RIO DE JANEIRO"
"399","RIO GRANDE"
"400","RIO LARGO"
"401","RIO VERDE"
"402","RONDONOPOLIS"
"403","RUY BARBOSA"
"404","SABARA"
"405","SALGUEIRO"
"406","SALTO"
"407","SALVADOR"
"408","SANTA BARBARA D'OESTE"
"409","SANTA CRUZ DO CAPIBARIBE"
"410","SANTA CRUZ DO RIO PARDO"
"411","SANTA CRUZ DO SUL"
"412","SANTA INES"
"413","SANTA LUZIA"
"414","SANTA MARIA"
"415","SANTA RITA"
"416","SANTA ROSA"
"417","SANTA VITORIA DO PALMAR"
"418","SANTANA DO ARAGUAIA"
"419","SANTANA DO IPANEMA"
"420","SANTANA DO LIVRAMENTO"
"421","SANTAREM"
"422","SANTO ANDRE"
"423","SANTO ANGELO"
"424","SANTO ANTONIO DE JESUS"
"425","SANTO ANTONIO DE PADUA"
"426","SANTO ANTONIO DO LEVERGER"
"427","SANTOS"
"428","SANTOS DUMONT"
"429","SAO BENTO DO UNA"
"430","SAO BERNARDO DO CAMPO"
"431","SAO BORJA"
"432","SAO CAETANO DO SUL"
"433","SAO CARLOS"
"434","SAO DOMINGOS DO MARANHAO"
"435","SAO GABRIEL"
"436","SAO GONCALO"
"437","SAO JOAO DA BOA VISTA"
"438","SAO JOAO DE MERITI"
"439","SAO JOAO DEL REI"
"440","SAO JOAO DOS PATOS"
"441","SAO JOAQUIM DA BARRA"
"442","SAO JOSE"
"443","SAO JOSE DE MIPIBU"
"444","SAO JOSE DE RIBAMAR"
"445","SAO JOSE DO RIO PRETO"
"446","SAO JOSE DOS CAMPOS"
"447","SAO JOSE DOS PINHAIS"
"448","SAO LEOPOLDO"
"449","SAO LOURENCO"
"450","SAO LOURENCO DA MATA"
"451","SAO LUIS"
"452","SAO LUIZ GONZAGA"
"453","SAO MATEUS"
"454","SAO MIGUEL DO GUAPORE"
