"";"Combustivel";"Model";"Region";"ModelCode";"mad";"MCS_pValue";"Critical"
"810";"Ethanol";"M28";"R45";"E_M28_R45";0,01095;0,9717;"*"
"811";"Ethanol";"VECM";"R46";"E_VECM_R46";0,01322;0,2462;"*"
"812";"Ethanol";"VECM2";"R46";"E_VECM2_R46";0,01299;0,3652;"*"
"813";"Ethanol";"M1";"R46";"E_M1_R46";0,01199;0,9474;"*"
"814";"Ethanol";"M12";"R46";"E_M12_R46";0,01389;0,007;NA
"815";"Ethanol";"M13";"R46";"E_M13_R46";0,0177;0;NA
"816";"Ethanol";"M14";"R46";"E_M14_R46";0,01413;0,0016;NA
"817";"Ethanol";"M15";"R46";"E_M15_R46";0,01667;0;NA
"818";"Ethanol";"M16";"R46";"E_M16_R46";0,01167;0,9552;"*"
"819";"Ethanol";"M17";"R46";"E_M17_R46";0,01181;0,9552;"*"
"820";"Ethanol";"M18";"R46";"E_M18_R46";0,0116;1;"*"
"821";"Ethanol";"M21";"R46";"E_M21_R46";0,01195;0,9484;"*"
"822";"Ethanol";"M22";"R46";"E_M22_R46";0,01383;0,011;NA
"823";"Ethanol";"M23";"R46";"E_M23_R46";0,01768;0;NA
"824";"Ethanol";"M24";"R46";"E_M24_R46";0,01417;0,0012;NA
"825";"Ethanol";"M25";"R46";"E_M25_R46";0,01667;0;NA
"826";"Ethanol";"M26";"R46";"E_M26_R46";0,01179;0,8646;"*"
"827";"Ethanol";"M27";"R46";"E_M27_R46";0,0118;0,9552;"*"
"828";"Ethanol";"M28";"R46";"E_M28_R46";0,01175;0,9552;"*"
"829";"Ethanol";"VECM";"R47";"E_VECM_R47";0,01565;0,0437;NA
"830";"Ethanol";"VECM2";"R47";"E_VECM2_R47";0,01496;0,1421;"**"
"831";"Ethanol";"M1";"R47";"E_M1_R47";0,01396;0,2052;"*"
"832";"Ethanol";"M12";"R47";"E_M12_R47";0,01423;0,4213;"*"
"833";"Ethanol";"M13";"R47";"E_M13_R47";0,01609;0,0126;NA
"834";"Ethanol";"M14";"R47";"E_M14_R47";0,01529;0,0744;NA
"835";"Ethanol";"M15";"R47";"E_M15_R47";0,01598;0,0123;NA
"836";"Ethanol";"M16";"R47";"E_M16_R47";0,01304;0,9953;"*"
"837";"Ethanol";"M17";"R47";"E_M17_R47";0,01378;0,2052;"*"
"838";"Ethanol";"M18";"R47";"E_M18_R47";0,01334;0,6292;"*"
"839";"Ethanol";"M21";"R47";"E_M21_R47";0,01377;0,4213;"*"
"840";"Ethanol";"M22";"R47";"E_M22_R47";0,01423;0,4213;"*"
"841";"Ethanol";"M23";"R47";"E_M23_R47";0,01603;0,0146;NA
"842";"Ethanol";"M24";"R47";"E_M24_R47";0,01529;0,0744;NA
"843";"Ethanol";"M25";"R47";"E_M25_R47";0,01603;0,0126;NA
"844";"Ethanol";"M26";"R47";"E_M26_R47";0,01303;0,9953;"*"
"845";"Ethanol";"M27";"R47";"E_M27_R47";0,01394;0,0886;NA
"846";"Ethanol";"M28";"R47";"E_M28_R47";0,01303;1;"*"
"847";"Ethanol";"VECM";"R48";"E_VECM_R48";0,01032;0,4521;"*"
"848";"Ethanol";"VECM2";"R48";"E_VECM2_R48";0,01015;1;"*"
"849";"Ethanol";"M1";"R48";"E_M1_R48";0,0117;0,0028;NA
"850";"Ethanol";"M12";"R48";"E_M12_R48";0,01493;0;NA
"851";"Ethanol";"M13";"R48";"E_M13_R48";0,01778;0;NA
"852";"Ethanol";"M14";"R48";"E_M14_R48";0,0153;0;NA
"853";"Ethanol";"M15";"R48";"E_M15_R48";0,01683;0;NA
"854";"Ethanol";"M16";"R48";"E_M16_R48";0,01073;0,564;"*"
"855";"Ethanol";"M17";"R48";"E_M17_R48";0,01099;0,3482;"*"
"856";"Ethanol";"M18";"R48";"E_M18_R48";0,01031;0,8555;"*"
"857";"Ethanol";"M21";"R48";"E_M21_R48";0,01132;0,079;NA
"858";"Ethanol";"M22";"R48";"E_M22_R48";0,01477;0;NA
"859";"Ethanol";"M23";"R48";"E_M23_R48";0,0177;0;NA
"860";"Ethanol";"M24";"R48";"E_M24_R48";0,01517;0;NA
"861";"Ethanol";"M25";"R48";"E_M25_R48";0,01666;0;NA
"862";"Ethanol";"M26";"R48";"E_M26_R48";0,0107;0,564;"*"
"863";"Ethanol";"M27";"R48";"E_M27_R48";0,01092;0,4521;"*"
"864";"Ethanol";"M28";"R48";"E_M28_R48";0,01048;0,6256;"*"
"865";"Ethanol";"VECM";"R49";"E_VECM_R49";0,01534;0,0311;NA
"866";"Ethanol";"VECM2";"R49";"E_VECM2_R49";0,01513;0,0457;NA
"867";"Ethanol";"M1";"R49";"E_M1_R49";0,01395;0,0123;NA
"868";"Ethanol";"M12";"R49";"E_M12_R49";0,01512;0,0016;NA
"869";"Ethanol";"M13";"R49";"E_M13_R49";0,01837;0;NA
"870";"Ethanol";"M14";"R49";"E_M14_R49";0,0153;5e-04;NA
"871";"Ethanol";"M15";"R49";"E_M15_R49";0,01736;0;NA
"872";"Ethanol";"M16";"R49";"E_M16_R49";0,0132;0,2071;"*"
"873";"Ethanol";"M17";"R49";"E_M17_R49";0,01322;0,2071;"*"
"874";"Ethanol";"M18";"R49";"E_M18_R49";0,01326;0,2017;"*"
"875";"Ethanol";"M21";"R49";"E_M21_R49";0,01449;3e-04;NA
"876";"Ethanol";"M22";"R49";"E_M22_R49";0,01505;0,0021;NA
"877";"Ethanol";"M23";"R49";"E_M23_R49";0,01826;0;NA
"878";"Ethanol";"M24";"R49";"E_M24_R49";0,01524;7e-04;NA
"879";"Ethanol";"M25";"R49";"E_M25_R49";0,01727;0;NA
"880";"Ethanol";"M26";"R49";"E_M26_R49";0,01283;1;"*"
"881";"Ethanol";"M27";"R49";"E_M27_R49";0,01345;0,1248;"**"
"882";"Ethanol";"M28";"R49";"E_M28_R49";0,01332;0,2071;"*"
"883";"Ethanol";"VECM";"R50";"E_VECM_R50";0,01229;0,447;"*"
"884";"Ethanol";"VECM2";"R50";"E_VECM2_R50";0,01223;0,447;"*"
"885";"Ethanol";"M1";"R50";"E_M1_R50";0,01388;0,005;NA
"886";"Ethanol";"M12";"R50";"E_M12_R50";0,01424;0,0013;NA
"887";"Ethanol";"M13";"R50";"E_M13_R50";0,01708;0;NA
"888";"Ethanol";"M14";"R50";"E_M14_R50";0,01467;3e-04;NA
"889";"Ethanol";"M15";"R50";"E_M15_R50";0,01666;0;NA
"890";"Ethanol";"M16";"R50";"E_M16_R50";0,01141;1;"*"
"891";"Ethanol";"M17";"R50";"E_M17_R50";0,01248;0,0391;NA
"892";"Ethanol";"M18";"R50";"E_M18_R50";0,01175;0,3523;"*"
"893";"Ethanol";"M21";"R50";"E_M21_R50";0,01349;0,0082;NA
"894";"Ethanol";"M22";"R50";"E_M22_R50";0,01416;0,0015;NA
"895";"Ethanol";"M23";"R50";"E_M23_R50";0,01687;0;NA
"896";"Ethanol";"M24";"R50";"E_M24_R50";0,01466;2e-04;NA
"897";"Ethanol";"M25";"R50";"E_M25_R50";0,01644;0;NA
"898";"Ethanol";"M26";"R50";"E_M26_R50";0,01171;0,4445;"*"
"899";"Ethanol";"M27";"R50";"E_M27_R50";0,01255;0,0328;NA
"900";"Ethanol";"M28";"R50";"E_M28_R50";0,01178;0,4445;"*"
"901";"Ethanol";"VECM";"R51";"E_VECM_R51";0,01443;1e-04;NA
"902";"Ethanol";"VECM2";"R51";"E_VECM2_R51";0,01426;8e-04;NA
"903";"Ethanol";"M1";"R51";"E_M1_R51";0,01164;0,0108;NA
"904";"Ethanol";"M12";"R51";"E_M12_R51";0,01274;8e-04;NA
"905";"Ethanol";"M13";"R51";"E_M13_R51";0,01523;0;NA
"906";"Ethanol";"M14";"R51";"E_M14_R51";0,01317;0,0017;NA
"907";"Ethanol";"M15";"R51";"E_M15_R51";0,01529;0;NA
"908";"Ethanol";"M16";"R51";"E_M16_R51";0,01112;0,078;NA
"909";"Ethanol";"M17";"R51";"E_M17_R51";0,0108;0,2007;"*"
"910";"Ethanol";"M18";"R51";"E_M18_R51";0,01073;0,229;"*"
"911";"Ethanol";"M21";"R51";"E_M21_R51";0,01193;0,0018;NA
"912";"Ethanol";"M22";"R51";"E_M22_R51";0,01275;8e-04;NA
"913";"Ethanol";"M23";"R51";"E_M23_R51";0,0151;0;NA
"914";"Ethanol";"M24";"R51";"E_M24_R51";0,01324;0,0016;NA
"915";"Ethanol";"M25";"R51";"E_M25_R51";0,01519;0;NA
"916";"Ethanol";"M26";"R51";"E_M26_R51";0,0106;0,3861;"*"
"917";"Ethanol";"M27";"R51";"E_M27_R51";0,01091;0,1626;"**"
"918";"Ethanol";"M28";"R51";"E_M28_R51";0,01037;1;"*"
"919";"Ethanol";"VECM";"R52";"E_VECM_R52";0,01254;0,925;"*"
"920";"Ethanol";"VECM2";"R52";"E_VECM2_R52";0,01225;0,962;"*"
"921";"Ethanol";"M1";"R52";"E_M1_R52";0,01271;0,5039;"*"
"922";"Ethanol";"M12";"R52";"E_M12_R52";0,01416;0,0136;NA
"923";"Ethanol";"M13";"R52";"E_M13_R52";0,01666;0;NA
"924";"Ethanol";"M14";"R52";"E_M14_R52";0,01408;0,0789;NA
"925";"Ethanol";"M15";"R52";"E_M15_R52";0,016;0;NA
"926";"Ethanol";"M16";"R52";"E_M16_R52";0,01256;0,629;"*"
"927";"Ethanol";"M17";"R52";"E_M17_R52";0,01233;0,925;"*"
"928";"Ethanol";"M18";"R52";"E_M18_R52";0,01203;1;"*"
"929";"Ethanol";"M21";"R52";"E_M21_R52";0,01311;0,0363;NA
"930";"Ethanol";"M22";"R52";"E_M22_R52";0,01426;0,0082;NA
"931";"Ethanol";"M23";"R52";"E_M23_R52";0,01666;0;NA
"932";"Ethanol";"M24";"R52";"E_M24_R52";0,01415;0,0632;NA
"933";"Ethanol";"M25";"R52";"E_M25_R52";0,01597;0;NA
"934";"Ethanol";"M26";"R52";"E_M26_R52";0,01209;0,962;"*"
"935";"Ethanol";"M27";"R52";"E_M27_R52";0,01235;0,925;"*"
"936";"Ethanol";"M28";"R52";"E_M28_R52";0,0124;0,8725;"*"
"937";"Ethanol";"VECM";"R53";"E_VECM_R53";0,00933;0,0103;NA
"938";"Ethanol";"VECM2";"R53";"E_VECM2_R53";0,00872;0,983;"*"
"939";"Ethanol";"M1";"R53";"E_M1_R53";0,00903;0,3969;"*"
"940";"Ethanol";"M12";"R53";"E_M12_R53";0,016;0;NA
"941";"Ethanol";"M13";"R53";"E_M13_R53";0,01642;0;NA
"942";"Ethanol";"M14";"R53";"E_M14_R53";0,01648;0;NA
"943";"Ethanol";"M15";"R53";"E_M15_R53";0,01669;0;NA
"944";"Ethanol";"M16";"R53";"E_M16_R53";0,00862;0,8702;"*"
"945";"Ethanol";"M17";"R53";"E_M17_R53";0,00876;0,8686;"*"
"946";"Ethanol";"M18";"R53";"E_M18_R53";0,00841;1;"*"
"947";"Ethanol";"M21";"R53";"E_M21_R53";0,00897;0,6291;"*"
"948";"Ethanol";"M22";"R53";"E_M22_R53";0,01616;0;NA
"949";"Ethanol";"M23";"R53";"E_M23_R53";0,01657;0;NA
"950";"Ethanol";"M24";"R53";"E_M24_R53";0,01661;0;NA
"951";"Ethanol";"M25";"R53";"E_M25_R53";0,01688;0;NA
"952";"Ethanol";"M26";"R53";"E_M26_R53";0,00847;0,983;"*"
"953";"Ethanol";"M27";"R53";"E_M27_R53";0,00883;0,8263;"*"
"954";"Ethanol";"M28";"R53";"E_M28_R53";0,00846;0,983;"*"
"955";"Ethanol";"VECM";"R54";"E_VECM_R54";0,01268;0,0758;NA
"956";"Ethanol";"VECM2";"R54";"E_VECM2_R54";0,01279;0,0599;NA
"957";"Ethanol";"M1";"R54";"E_M1_R54";0,01253;0,0246;NA
"958";"Ethanol";"M12";"R54";"E_M12_R54";0,01275;0,0604;NA
"959";"Ethanol";"M13";"R54";"E_M13_R54";0,01479;8e-04;NA
"960";"Ethanol";"M14";"R54";"E_M14_R54";0,01352;0,0187;NA
"961";"Ethanol";"M15";"R54";"E_M15_R54";0,01575;2e-04;NA
"962";"Ethanol";"M16";"R54";"E_M16_R54";0,01099;0,9992;"*"
"963";"Ethanol";"M17";"R54";"E_M17_R54";0,01147;0,6611;"*"
"964";"Ethanol";"M18";"R54";"E_M18_R54";0,011;0,9992;"*"
"965";"Ethanol";"M21";"R54";"E_M21_R54";0,01275;0,0071;NA
"966";"Ethanol";"M22";"R54";"E_M22_R54";0,01297;0,0389;NA
"967";"Ethanol";"M23";"R54";"E_M23_R54";0,01489;8e-04;NA
"968";"Ethanol";"M24";"R54";"E_M24_R54";0,01351;0,0246;NA
"969";"Ethanol";"M25";"R54";"E_M25_R54";0,01595;0;NA
"970";"Ethanol";"M26";"R54";"E_M26_R54";0,01112;0,9;"*"
"971";"Ethanol";"M27";"R54";"E_M27_R54";0,0116;0,6611;"*"
"972";"Ethanol";"M28";"R54";"E_M28_R54";0,01099;1;"*"
"973";"Ethanol";"VECM";"R55";"E_VECM_R55";0,01432;0;NA
"974";"Ethanol";"VECM2";"R55";"E_VECM2_R55";0,01322;0,0143;NA
"975";"Ethanol";"M1";"R55";"E_M1_R55";0,01194;0,3452;"*"
"976";"Ethanol";"M12";"R55";"E_M12_R55";0,0121;0,3452;"*"
"977";"Ethanol";"M13";"R55";"E_M13_R55";0,01236;0,3263;"*"
"978";"Ethanol";"M14";"R55";"E_M14_R55";0,01308;0,055;NA
"979";"Ethanol";"M15";"R55";"E_M15_R55";0,01312;0,0574;NA
"980";"Ethanol";"M16";"R55";"E_M16_R55";0,01093;1;"*"
"981";"Ethanol";"M17";"R55";"E_M17_R55";0,01132;0,722;"*"
"982";"Ethanol";"M18";"R55";"E_M18_R55";0,01119;0,722;"*"
"983";"Ethanol";"M21";"R55";"E_M21_R55";0,01147;0,722;"*"
"984";"Ethanol";"M22";"R55";"E_M22_R55";0,01205;0,3452;"*"
"985";"Ethanol";"M23";"R55";"E_M23_R55";0,01239;0,3452;"*"
"986";"Ethanol";"M24";"R55";"E_M24_R55";0,01315;0,0506;NA
"987";"Ethanol";"M25";"R55";"E_M25_R55";0,01325;0,0574;NA
"988";"Ethanol";"M26";"R55";"E_M26_R55";0,01149;0,3452;"*"
"989";"Ethanol";"M27";"R55";"E_M27_R55";0,01159;0,611;"*"
"990";"Ethanol";"M28";"R55";"E_M28_R55";0,01127;0,722;"*"
"991";"Ethanol";"VECM";"R56";"E_VECM_R56";0,01176;0;NA
"992";"Ethanol";"VECM2";"R56";"E_VECM2_R56";0,00943;0,6886;"*"
"993";"Ethanol";"M1";"R56";"E_M1_R56";0,00871;1;"*"
"994";"Ethanol";"M12";"R56";"E_M12_R56";0,01087;0,0259;NA
"995";"Ethanol";"M13";"R56";"E_M13_R56";0,01322;0;NA
"996";"Ethanol";"M14";"R56";"E_M14_R56";0,01104;0,0194;NA
"997";"Ethanol";"M15";"R56";"E_M15_R56";0,01268;0;NA
"998";"Ethanol";"M16";"R56";"E_M16_R56";0,00917;0,6886;"*"
"999";"Ethanol";"M17";"R56";"E_M17_R56";0,00956;0,1991;"**"
"1000";"Ethanol";"M18";"R56";"E_M18_R56";0,00927;0,2888;"*"
"1001";"Ethanol";"M21";"R56";"E_M21_R56";0,00896;0,6886;"*"
"1002";"Ethanol";"M22";"R56";"E_M22_R56";0,01082;0,04;NA
"1003";"Ethanol";"M23";"R56";"E_M23_R56";0,01309;0;NA
"1004";"Ethanol";"M24";"R56";"E_M24_R56";0,01101;0,0259;NA
"1005";"Ethanol";"M25";"R56";"E_M25_R56";0,01252;1e-04;NA
"1006";"Ethanol";"M26";"R56";"E_M26_R56";0,00876;0,8835;"*"
"1007";"Ethanol";"M27";"R56";"E_M27_R56";0,00949;0,1985;"**"
"1008";"Ethanol";"M28";"R56";"E_M28_R56";0,00889;0,7291;"*"
"1009";"Ethanol";"VECM";"R57";"E_VECM_R57";0,01361;0,9361;"*"
"1010";"Ethanol";"VECM2";"R57";"E_VECM2_R57";0,01351;1;"*"
"1011";"Ethanol";"M1";"R57";"E_M1_R57";0,01357;0,9969;"*"
"1012";"Ethanol";"M12";"R57";"E_M12_R57";0,01515;0,7562;"*"
"1013";"Ethanol";"M13";"R57";"E_M13_R57";0,01597;0,1509;"**"
"1014";"Ethanol";"M14";"R57";"E_M14_R57";0,01505;0,7555;"*"
"1015";"Ethanol";"M15";"R57";"E_M15_R57";0,01599;0,1028;"**"
"1016";"Ethanol";"M16";"R57";"E_M16_R57";0,01399;0,9505;"*"
"1017";"Ethanol";"M17";"R57";"E_M17_R57";0,01373;0,9786;"*"
"1018";"Ethanol";"M18";"R57";"E_M18_R57";0,01435;0,9361;"*"
"1019";"Ethanol";"M21";"R57";"E_M21_R57";0,01374;0,9361;"*"
"1020";"Ethanol";"M22";"R57";"E_M22_R57";0,01505;0,7928;"*"
"1021";"Ethanol";"M23";"R57";"E_M23_R57";0,01595;0,1516;"**"
"1022";"Ethanol";"M24";"R57";"E_M24_R57";0,01493;0,7928;"*"
"1023";"Ethanol";"M25";"R57";"E_M25_R57";0,01591;0,1509;"**"
"1024";"Ethanol";"M26";"R57";"E_M26_R57";0,01396;0,9505;"*"
"1025";"Ethanol";"M27";"R57";"E_M27_R57";0,01359;0,9969;"*"
"1026";"Ethanol";"M28";"R57";"E_M28_R57";0,01404;0,9505;"*"
"1027";"Ethanol";"VECM";"R58";"E_VECM_R58";0,01413;0,2037;"*"
"1028";"Ethanol";"VECM2";"R58";"E_VECM2_R58";0,01362;0,6851;"*"
"1029";"Ethanol";"M1";"R58";"E_M1_R58";0,01454;0,0926;NA
"1030";"Ethanol";"M12";"R58";"E_M12_R58";0,01632;0,0091;NA
"1031";"Ethanol";"M13";"R58";"E_M13_R58";0,01723;0,003;NA
"1032";"Ethanol";"M14";"R58";"E_M14_R58";0,01576;0,0309;NA
"1033";"Ethanol";"M15";"R58";"E_M15_R58";0,01678;0,0317;NA
"1034";"Ethanol";"M16";"R58";"E_M16_R58";0,01415;0,1284;"**"
"1035";"Ethanol";"M17";"R58";"E_M17_R58";0,01306;1;"*"
"1036";"Ethanol";"M18";"R58";"E_M18_R58";0,01347;0,6851;"*"
"1037";"Ethanol";"M21";"R58";"E_M21_R58";0,01493;0,0604;NA
"1038";"Ethanol";"M22";"R58";"E_M22_R58";0,01625;0,0093;NA
"1039";"Ethanol";"M23";"R58";"E_M23_R58";0,01698;0,0062;NA
"1040";"Ethanol";"M24";"R58";"E_M24_R58";0,01572;0,0313;NA
"1041";"Ethanol";"M25";"R58";"E_M25_R58";0,01662;0,0401;NA
"1042";"Ethanol";"M26";"R58";"E_M26_R58";0,0163;0,001;NA
"1043";"Ethanol";"M27";"R58";"E_M27_R58";0,01396;0,0926;NA
"1044";"Ethanol";"M28";"R58";"E_M28_R58";0,01418;0,2037;"*"
"1045";"Ethanol";"VECM";"R59";"E_VECM_R59";0,01946;0,1142;"**"
"1046";"Ethanol";"VECM2";"R59";"E_VECM2_R59";0,01931;0,1351;"**"
"1047";"Ethanol";"M1";"R59";"E_M1_R59";0,01763;0,0538;NA
"1048";"Ethanol";"M12";"R59";"E_M12_R59";0,01772;0,3536;"*"
"1049";"Ethanol";"M13";"R59";"E_M13_R59";0,01865;0,2034;"*"
"1050";"Ethanol";"M14";"R59";"E_M14_R59";0,01923;0,0538;NA
"1051";"Ethanol";"M15";"R59";"E_M15_R59";0,01942;0,0538;NA
"1052";"Ethanol";"M16";"R59";"E_M16_R59";0,01674;0,2205;"*"
"1053";"Ethanol";"M17";"R59";"E_M17_R59";0,01762;0,0538;NA
"1054";"Ethanol";"M18";"R59";"E_M18_R59";0,01656;0,3536;"*"
"1055";"Ethanol";"M21";"R59";"E_M21_R59";0,01851;0,0042;NA
"1056";"Ethanol";"M22";"R59";"E_M22_R59";0,01767;0,3536;"*"
"1057";"Ethanol";"M23";"R59";"E_M23_R59";0,01859;0,2205;"*"
"1058";"Ethanol";"M24";"R59";"E_M24_R59";0,01921;0,0538;NA
"1059";"Ethanol";"M25";"R59";"E_M25_R59";0,01933;0,0601;NA
"1060";"Ethanol";"M26";"R59";"E_M26_R59";0,0164;1;"*"
"1061";"Ethanol";"M27";"R59";"E_M27_R59";0,01761;0,0538;NA
"1062";"Ethanol";"M28";"R59";"E_M28_R59";0,01676;0,2781;"*"
"1063";"Ethanol";"VECM";"R60";"E_VECM_R60";0,01286;0,1122;"**"
"1064";"Ethanol";"VECM2";"R60";"E_VECM2_R60";0,01228;1;"*"
"1065";"Ethanol";"M1";"R60";"E_M1_R60";0,01235;0,9989;"*"
"1066";"Ethanol";"M12";"R60";"E_M12_R60";0,01645;1e-04;NA
"1067";"Ethanol";"M13";"R60";"E_M13_R60";0,01549;0,0016;NA
"1068";"Ethanol";"M14";"R60";"E_M14_R60";0,0166;3e-04;NA
"1069";"Ethanol";"M15";"R60";"E_M15_R60";0,01548;0,0083;NA
"1070";"Ethanol";"M16";"R60";"E_M16_R60";0,01246;0,9989;"*"
"1071";"Ethanol";"M17";"R60";"E_M17_R60";0,0123;0,9989;"*"
"1072";"Ethanol";"M18";"R60";"E_M18_R60";0,01241;0,9989;"*"
"1073";"Ethanol";"M21";"R60";"E_M21_R60";0,01232;0,9989;"*"
"1074";"Ethanol";"M22";"R60";"E_M22_R60";0,01652;1e-04;NA
"1075";"Ethanol";"M23";"R60";"E_M23_R60";0,01552;0,001;NA
"1076";"Ethanol";"M24";"R60";"E_M24_R60";0,01668;3e-04;NA
"1077";"Ethanol";"M25";"R60";"E_M25_R60";0,01553;0,0071;NA
"1078";"Ethanol";"M26";"R60";"E_M26_R60";0,0132;0,315;"*"
"1079";"Ethanol";"M27";"R60";"E_M27_R60";0,01266;0,4517;"*"
"1080";"Ethanol";"M28";"R60";"E_M28_R60";0,01238;0,9989;"*"
"1081";"Ethanol";"VECM";"R61";"E_VECM_R61";0,01194;0,0142;NA
"1082";"Ethanol";"VECM2";"R61";"E_VECM2_R61";0,0112;0,8956;"*"
"1083";"Ethanol";"M1";"R61";"E_M1_R61";0,01075;0,8956;"*"
"1084";"Ethanol";"M12";"R61";"E_M12_R61";0,01169;0,6191;"*"
"1085";"Ethanol";"M13";"R61";"E_M13_R61";0,01276;0,0685;NA
"1086";"Ethanol";"M14";"R61";"E_M14_R61";0,01177;0,6191;"*"
"1087";"Ethanol";"M15";"R61";"E_M15_R61";0,01254;0,1246;"**"
"1088";"Ethanol";"M16";"R61";"E_M16_R61";0,01126;0,2493;"*"
"1089";"Ethanol";"M17";"R61";"E_M17_R61";0,01057;1;"*"
"1090";"Ethanol";"M18";"R61";"E_M18_R61";0,01064;0,8956;"*"
"1091";"Ethanol";"M21";"R61";"E_M21_R61";0,01106;0,6191;"*"
"1092";"Ethanol";"M22";"R61";"E_M22_R61";0,0117;0,6191;"*"
"1093";"Ethanol";"M23";"R61";"E_M23_R61";0,01277;0,071;NA
"1094";"Ethanol";"M24";"R61";"E_M24_R61";0,01196;0,5069;"*"
"1095";"Ethanol";"M25";"R61";"E_M25_R61";0,01262;0,1106;"**"
"1096";"Ethanol";"M26";"R61";"E_M26_R61";0,0108;0,8956;"*"
"1097";"Ethanol";"M27";"R61";"E_M27_R61";0,01071;0,8956;"*"
"1098";"Ethanol";"M28";"R61";"E_M28_R61";0,01128;0,2876;"*"
"1099";"Ethanol";"VECM";"R62";"E_VECM_R62";0,01148;0,0306;NA
"1100";"Ethanol";"VECM2";"R62";"E_VECM2_R62";0,01137;0,0315;NA
"1101";"Ethanol";"M1";"R62";"E_M1_R62";0,00977;0,3336;"*"
"1102";"Ethanol";"M12";"R62";"E_M12_R62";0,00991;0,3336;"*"
"1103";"Ethanol";"M13";"R62";"E_M13_R62";0,0112;1e-04;NA
"1104";"Ethanol";"M14";"R62";"E_M14_R62";0,00984;0,4887;"*"
"1105";"Ethanol";"M15";"R62";"E_M15_R62";0,01042;0,1157;"**"
"1106";"Ethanol";"M16";"R62";"E_M16_R62";0,00942;0,6733;"*"
"1107";"Ethanol";"M17";"R62";"E_M17_R62";0,00939;0,6768;"*"
"1108";"Ethanol";"M18";"R62";"E_M18_R62";0,00938;0,6768;"*"
"1109";"Ethanol";"M21";"R62";"E_M21_R62";0,00948;0,6768;"*"
"1110";"Ethanol";"M22";"R62";"E_M22_R62";0,00991;0,3336;"*"
"1111";"Ethanol";"M23";"R62";"E_M23_R62";0,01105;0,0016;NA
"1112";"Ethanol";"M24";"R62";"E_M24_R62";0,00994;0,4156;"*"
"1113";"Ethanol";"M25";"R62";"E_M25_R62";0,01036;0,1754;"**"
"1114";"Ethanol";"M26";"R62";"E_M26_R62";0,00902;1;"*"
"1115";"Ethanol";"M27";"R62";"E_M27_R62";0,00941;0,6768;"*"
"1116";"Ethanol";"M28";"R62";"E_M28_R62";0,00965;0,3336;"*"
"1117";"Ethanol";"VECM";"R63";"E_VECM_R63";0,01853;0,7242;"*"
"1118";"Ethanol";"VECM2";"R63";"E_VECM2_R63";0,01836;0,7242;"*"
"1119";"Ethanol";"M1";"R63";"E_M1_R63";0,02047;5e-04;NA
"1120";"Ethanol";"M12";"R63";"E_M12_R63";0,02027;0,0589;NA
"1121";"Ethanol";"M13";"R63";"E_M13_R63";0,03058;0;NA
"1122";"Ethanol";"M14";"R63";"E_M14_R63";0,02047;0,1075;"**"
"1123";"Ethanol";"M15";"R63";"E_M15_R63";0,02934;0;NA
"1124";"Ethanol";"M16";"R63";"E_M16_R63";0,01728;1;"*"
"1125";"Ethanol";"M17";"R63";"E_M17_R63";0,01845;0,1075;"**"
"1126";"Ethanol";"M18";"R63";"E_M18_R63";0,01903;0,0081;NA
"1127";"Ethanol";"M21";"R63";"E_M21_R63";0,02082;0,0057;NA
"1128";"Ethanol";"M22";"R63";"E_M22_R63";0,02022;0,0589;NA
"1129";"Ethanol";"M23";"R63";"E_M23_R63";0,03029;0;NA
"1130";"Ethanol";"M24";"R63";"E_M24_R63";0,0204;0,1075;"**"
"1131";"Ethanol";"M25";"R63";"E_M25_R63";0,02914;0;NA
"1132";"Ethanol";"M26";"R63";"E_M26_R63";0,01728;0,9829;"*"
"1133";"Ethanol";"M27";"R63";"E_M27_R63";0,01813;0,4835;"*"
"1134";"Ethanol";"M28";"R63";"E_M28_R63";0,01868;0,2628;"*"
"1135";"Ethanol";"VECM";"R64";"E_VECM_R64";0,01666;0,2699;"*"
"1136";"Ethanol";"VECM2";"R64";"E_VECM2_R64";0,01655;0,3449;"*"
"1137";"Ethanol";"M1";"R64";"E_M1_R64";0,0205;0;NA
"1138";"Ethanol";"M12";"R64";"E_M12_R64";0,02034;0;NA
"1139";"Ethanol";"M13";"R64";"E_M13_R64";0,03153;0;NA
"1140";"Ethanol";"M14";"R64";"E_M14_R64";0,02139;0;NA
"1141";"Ethanol";"M15";"R64";"E_M15_R64";0,029;0;NA
"1142";"Ethanol";"M16";"R64";"E_M16_R64";0,01517;1;"*"
"1143";"Ethanol";"M17";"R64";"E_M17_R64";0,01596;0,6009;"*"
"1144";"Ethanol";"M18";"R64";"E_M18_R64";0,01576;0,6009;"*"
"1145";"Ethanol";"M21";"R64";"E_M21_R64";0,02103;0;NA
"1146";"Ethanol";"M22";"R64";"E_M22_R64";0,02024;0;NA
"1147";"Ethanol";"M23";"R64";"E_M23_R64";0,03145;0;NA
"1148";"Ethanol";"M24";"R64";"E_M24_R64";0,02146;0;NA
"1149";"Ethanol";"M25";"R64";"E_M25_R64";0,02893;0;NA
"1150";"Ethanol";"M26";"R64";"E_M26_R64";0,01524;0,8384;"*"
"1151";"Ethanol";"M27";"R64";"E_M27_R64";0,01662;0,1677;"**"
"1152";"Ethanol";"M28";"R64";"E_M28_R64";0,01694;0,0564;NA
"1153";"Ethanol";"VECM";"R65";"E_VECM_R65";0,02147;1;"*"
