"ESTADO","MUNICIPIO","ID_Municipio","ETANOL_HIDRATADO","OLEO_DIESEL","GASOLINA_COMUM","Min","check"
"PE","CABO DE SANTO AGOSTINHO",2602902,717,431,717,431,0.5678524374176548
"MA","SAO JOAO DOS PATOS",2111102,402,568,568,402,0.5296442687747036
"RS","CHUI",4305439,385,572,572,385,0.5072463768115942
"AM","TEFE",1304203,374,600,738,374,0.4927536231884058
"AM","PRESIDENTE FIGUEIREDO",1303536,357,495,580,357,0.47035573122529645
"AP","SANTANA",1600600,338,737,736,338,0.4453227931488801
"SP","EMBU DAS ARTES",3515004,265,265,265,265,0.34914361001317523
"AM","PARINTINS",1303403,247,737,737,247,0.3254281949934124
"PA","BREVES",1501808,222,569,569,222,0.2924901185770751
"RR","CARACARAI",1400209,187,548,571,187,0.2463768115942029
"RR","RORAINOPOLIS",1400472,178,555,573,178,0.23451910408432147
"AP","PORTO GRANDE",1600535,136,570,571,136,0.17918313570487485
"GO","PLANALTINA",5217609,110,110,110,110,0.14492753623188406
"RJ","PARATY",3303807,79,79,79,79,0.10408432147562582
"AC","XAPURI",1200708,71,574,577,71,0.09354413702239789
"RR","CANTA",1400175,69,559,566,69,0.09090909090909091
"AP","LARANJAL DO JARI",1600279,61,569,570,61,0.08036890645586298
"RS","SANT'ANA DO LIVRAMENTO",4317103,58,58,58,58,0.0764163372859025
"AC","TARAUACA",1200609,43,576,577,43,0.05665349143610013
"PA","CAMETA",1502103,42,720,720,42,0.05533596837944664
"AP","CALCOENE",1600204,18,539,539,18,0.023715415019762844
"PA","ALENQUER",1500404,11,715,715,11,0.014492753623188406
"AP","OIAPOQUE",1600501,7,567,570,7,0.00922266139657444
"RR","MUCAJAI",1400308,2,571,577,2,0.002635046113306983
